Ramp 10.00 øC/min to 260.00 øC,,
Time,Temperature,Heat Flow (Normalized)
min,øC,W/g
1.41,27.56,-0.256
1.41,27.58,-0.257
1.41,27.59,-0.257
1.41,27.61,-0.258
1.41,27.62,-0.258
1.42,27.64,-0.259
1.42,27.65,-0.259
1.42,27.67,-0.26
1.42,27.69,-0.261
1.42,27.7,-0.261
1.42,27.72,-0.262
1.43,27.74,-0.263
1.43,27.75,-0.263
1.43,27.77,-0.264
1.43,27.79,-0.264
1.43,27.8,-0.265
1.43,27.82,-0.265
1.43,27.83,-0.266
1.44,27.85,-0.266
1.44,27.87,-0.266
1.44,27.88,-0.266
1.44,27.9,-0.267
1.44,27.92,-0.267
1.44,27.93,-0.268
1.45,27.95,-0.268
1.45,27.96,-0.269
1.45,27.98,-0.269
1.45,28,-0.27
1.45,28.01,-0.27
1.46,28.03,-0.271
1.46,28.05,-0.271
1.46,28.06,-0.272
1.46,28.08,-0.272
1.46,28.09,-0.272
1.46,28.11,-0.272
1.47,28.13,-0.273
1.47,28.14,-0.273
1.47,28.16,-0.273
1.47,28.18,-0.274
1.47,28.19,-0.274
1.47,28.21,-0.275
1.48,28.23,-0.275
1.48,28.24,-0.275
1.48,28.26,-0.276
1.48,28.27,-0.276
1.48,28.29,-0.277
1.48,28.31,-0.277
1.48,28.32,-0.277
1.49,28.34,-0.278
1.49,28.36,-0.278
1.49,28.37,-0.278
1.49,28.39,-0.279
1.49,28.41,-0.279
1.49,28.42,-0.279
1.5,28.44,-0.279
1.5,28.46,-0.28
1.5,28.47,-0.28
1.5,28.49,-0.281
1.5,28.5,-0.281
1.51,28.52,-0.281
1.51,28.54,-0.282
1.51,28.55,-0.282
1.51,28.57,-0.282
1.51,28.59,-0.283
1.51,28.6,-0.283
1.52,28.62,-0.283
1.52,28.64,-0.283
1.52,28.65,-0.283
1.52,28.67,-0.284
1.52,28.68,-0.284
1.52,28.7,-0.284
1.53,28.72,-0.284
1.53,28.73,-0.285
1.53,28.75,-0.285
1.53,28.77,-0.285
1.53,28.78,-0.285
1.53,28.8,-0.285
1.53,28.82,-0.286
1.54,28.83,-0.286
1.54,28.85,-0.286
1.54,28.87,-0.286
1.54,28.88,-0.287
1.54,28.9,-0.287
1.54,28.92,-0.287
1.55,28.93,-0.287
1.55,28.95,-0.288
1.55,28.96,-0.288
1.55,28.98,-0.288
1.55,29,-0.288
1.56,29.01,-0.289
1.56,29.03,-0.289
1.56,29.05,-0.289
1.56,29.06,-0.289
1.56,29.08,-0.29
1.56,29.1,-0.29
1.57,29.11,-0.29
1.57,29.13,-0.29
1.57,29.15,-0.29
1.57,29.16,-0.29
1.57,29.18,-0.291
1.57,29.2,-0.291
1.58,29.21,-0.291
1.58,29.23,-0.291
1.58,29.24,-0.291
1.58,29.26,-0.292
1.58,29.28,-0.292
1.58,29.29,-0.292
1.58,29.31,-0.292
1.59,29.33,-0.292
1.59,29.34,-0.293
1.59,29.36,-0.293
1.59,29.38,-0.293
1.59,29.39,-0.293
1.59,29.41,-0.293
1.6,29.43,-0.293
1.6,29.44,-0.293
1.6,29.46,-0.294
1.6,29.48,-0.294
1.6,29.49,-0.294
1.61,29.51,-0.294
1.61,29.52,-0.294
1.61,29.54,-0.294
1.61,29.56,-0.294
1.61,29.57,-0.295
1.61,29.59,-0.295
1.62,29.61,-0.295
1.62,29.62,-0.295
1.62,29.64,-0.295
1.62,29.66,-0.295
1.62,29.67,-0.296
1.62,29.69,-0.296
1.63,29.71,-0.296
1.63,29.72,-0.296
1.63,29.74,-0.296
1.63,29.76,-0.296
1.63,29.77,-0.296
1.63,29.79,-0.296
1.63,29.81,-0.296
1.64,29.82,-0.297
1.64,29.84,-0.297
1.64,29.86,-0.297
1.64,29.87,-0.297
1.64,29.89,-0.297
1.64,29.9,-0.297
1.65,29.92,-0.297
1.65,29.94,-0.297
1.65,29.95,-0.297
1.65,29.97,-0.297
1.65,29.99,-0.298
1.66,30,-0.298
1.66,30.02,-0.298
1.66,30.04,-0.298
1.66,30.05,-0.298
1.66,30.07,-0.298
1.66,30.09,-0.298
1.67,30.1,-0.298
1.67,30.12,-0.299
1.67,30.14,-0.299
1.67,30.15,-0.299
1.67,30.17,-0.299
1.67,30.19,-0.299
1.68,30.2,-0.299
1.68,30.22,-0.299
1.68,30.24,-0.299
1.68,30.25,-0.299
1.68,30.27,-0.299
1.68,30.29,-0.3
1.68,30.3,-0.3
1.69,30.32,-0.3
1.69,30.34,-0.3
1.69,30.35,-0.3
1.69,30.37,-0.3
1.69,30.39,-0.3
1.69,30.4,-0.3
1.7,30.42,-0.3
1.7,30.44,-0.3
1.7,30.45,-0.3
1.7,30.47,-0.3
1.7,30.48,-0.301
1.71,30.5,-0.301
1.71,30.52,-0.301
1.71,30.53,-0.301
1.71,30.55,-0.301
1.71,30.57,-0.301
1.71,30.58,-0.301
1.72,30.6,-0.301
1.72,30.62,-0.301
1.72,30.63,-0.301
1.72,30.65,-0.301
1.72,30.67,-0.301
1.72,30.68,-0.301
1.73,30.7,-0.301
1.73,30.72,-0.301
1.73,30.73,-0.302
1.73,30.75,-0.302
1.73,30.77,-0.302
1.73,30.78,-0.302
1.73,30.8,-0.302
1.74,30.82,-0.302
1.74,30.83,-0.302
1.74,30.85,-0.302
1.74,30.86,-0.302
1.74,30.88,-0.302
1.74,30.9,-0.302
1.75,30.92,-0.302
1.75,30.93,-0.302
1.75,30.95,-0.302
1.75,30.96,-0.302
1.75,30.98,-0.302
1.76,31,-0.303
1.76,31.02,-0.303
1.76,31.03,-0.303
1.76,31.05,-0.303
1.76,31.07,-0.303
1.76,31.08,-0.303
1.77,31.1,-0.303
1.77,31.12,-0.303
1.77,31.13,-0.303
1.77,31.15,-0.303
1.77,31.16,-0.303
1.77,31.18,-0.303
1.78,31.2,-0.303
1.78,31.22,-0.303
1.78,31.23,-0.303
1.78,31.25,-0.303
1.78,31.26,-0.303
1.78,31.28,-0.303
1.78,31.3,-0.303
1.79,31.31,-0.303
1.79,31.33,-0.303
1.79,31.35,-0.303
1.79,31.36,-0.303
1.79,31.38,-0.304
1.79,31.4,-0.304
1.8,31.41,-0.304
1.8,31.43,-0.304
1.8,31.45,-0.304
1.8,31.46,-0.304
1.8,31.48,-0.304
1.81,31.5,-0.304
1.81,31.51,-0.304
1.81,31.53,-0.304
1.81,31.55,-0.304
1.81,31.56,-0.304
1.81,31.58,-0.304
1.82,31.6,-0.304
1.82,31.61,-0.304
1.82,31.63,-0.304
1.82,31.65,-0.304
1.82,31.66,-0.304
1.82,31.68,-0.304
1.83,31.7,-0.304
1.83,31.71,-0.304
1.83,31.73,-0.304
1.83,31.75,-0.304
1.83,31.76,-0.304
1.83,31.78,-0.304
1.83,31.8,-0.304
1.84,31.81,-0.304
1.84,31.83,-0.304
1.84,31.85,-0.304
1.84,31.86,-0.305
1.84,31.88,-0.305
1.84,31.9,-0.305
1.85,31.91,-0.305
1.85,31.93,-0.305
1.85,31.94,-0.305
1.85,31.96,-0.305
1.85,31.98,-0.305
1.86,31.99,-0.305
1.86,32.01,-0.305
